cds	logFC.constDiff	adj.P.Val.constDiff	logFC.weevilInd_Q903	adj.P.Val.weevilInd_Q903	set	UniProtKB.AC	evalue	Description	tax_id	Taxonomy	GO
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100132_c0_g2_i1:175-831(-)	-2.10938223011982	0.000794621971179858	-1.01632241935079	0.0482949022318075	2	A9NX38	1.21e-114	Glycosyltransferase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016758
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100133_c0_g1_i1:363-1634(+)	0.399636448177605	0.623741738265262	-2.40762213429062	0.00122768202999348	4	D5AA01	0	Purple acid phosphatase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0003993; GO:0046872
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100136_c0_g2_i1:326-2782(-)	-0.996193059816234	0.29907428219384	-3.90063860643874	0.0026218053073409	4	W1PWE5	0	Uncharacterized protein OS=Amborella trichopoda OX=13333 GN=AMTR_s00022p00214560 PE=4 SV=1	13333	Viridiplantae	GO:0016021; GO:0005886; GO:0009901; GO:0010930
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100139_c0_g1_i1:1-360(+)	-2.77084297495902	0.0248762960139076	1.73862665178118	0.0211258136422011	2	B8LN75	7.23e-58	Glycosyltransferase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016758
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100169_c0_g3_i1:1-519(-)	-6.94093267028559	0.000223475065158452	0.781028543940992	0.372686296171106	2	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	2.83760481406855	0.00733655696610586	1.4048662149821	0.263124459647264	1	B8LNR4	5.86e-99	Glyco_hydro_19_cat domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0004568; GO:0005975; GO:0016998; GO:0006032
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	2.40614691801701	0.0113904176805343	1.89953664767786	0.0646532556248882	1	G9B4E7	2.14e-99	Class VII chitinase OS=Picea engelmannii x Picea glauca OX=373101 GN=Chia7-2 PE=2 SV=1	373101	Viridiplantae	GO:0004568; GO:0005975; GO:0016998; GO:0006032
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100247_c0_g3_i1:2-499(+)	2.05298431943655	0.0136133802033323	-1.66014887473137	0.0871568802154128	1	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100263_c0_g2_i1:340-2256(-)	0.448443457018725	0.557282068866003	-3.51132148330534	0.000788588489851646	4	A9NVW4	1.52e-157	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016021
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100266_c0_g1_i1:114-668(+)	-1.57009724561757	0.050007179717721	-2.05818004491134	0.00764148654297105	4	A0A0C9RS04	8.49e-71	TSA: Wollemia nobilis Ref_Wollemi_Transcript_15880_863 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100284_c0_g4_i1:64-363(-)	-0.136969124368469	0.908063223863783	2.44514411513765	0.000929804857399221	3	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100313_c0_g1_i1:2-442(-)	-1.29729943090722	0.112888145675325	-3.01869825098711	0.00307681663958858	4	W1PM24	3.19e-62	Peroxidase OS=Amborella trichopoda OX=13333 GN=AMTR_s00018p00156910 PE=3 SV=1	13333	Viridiplantae	GO:0005576; GO:0009505; GO:0009506; GO:0020037; GO:0046872; GO:0004601; GO:0042744; GO:0006979
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100370_c1_g1_i1:791-1093(-)	-1.21951011148944	0.01612810391689	-2.92266295731858	2.00126911051986e-05	4	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100378_c0_g1_i1:2-328(+)	-0.425749849858615	0.936856291037782	5.85626132805528	0.014504741901611	3	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100380_c0_g1_i1:53-1804(-)	0.131153903737949	0.912944483548063	2.05418011794534	0.00453689989236115	3	U5MY99	0	4-coumarate:CoA ligase OS=Pinus taeda OX=3352 GN=4CL3 PE=2 SV=1	3352	Viridiplantae	GO:0016874
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100428_c0_g1_i1:155-475(-)	-0.245903499150375	0.885868445220337	2.98708491626995	0.00304232398569878	3	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100446_c0_g1_i1:248-1048(+)	0.185492060164826	0.892556674627501	3.05639004280961	0.000387892926329814	3	A9NYZ8	0	Methyltransf_11 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0008168
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100466_c0_g1_i1:487-2481(+)	-0.970601967310121	0.143290276807569	-4.42101839612031	0.00161447701905609	4	A0A4D6LJ46	0	Protein brassinosteroid insensitive 1 OS=Vigna unguiculata OX=3917 GN=DEO72_LG3g3272 PE=4 SV=1	3917	Viridiplantae	GO:0016021; GO:0005524; GO:0004672
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100482_c0_g1_i1:1-312(+)	-2.86593263385203	0.00113964805016063	-0.0588934846319115	0.934267351476041	2	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100492_c0_g1_i1:357-3335(-)	-0.584176375394241	0.345889842885395	-2.4162122610911	0.00112464413282896	4	A0A443N148	0	Kinesin-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_00044300 PE=3 SV=1	337451	Viridiplantae	GO:0005874; GO:0005524; GO:0008017; GO:0003777; GO:0007018
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100499_c1_g1_i1:310-618(+)	4.3200883716209	0.00166870311529888	4.35295915632052	0.00709684328949529	5	O65056	5.63e-23	Probable glutathione S-transferase OS=Picea mariana OX=3335 GN=Sb18 PE=2 SV=1	3335	Viridiplantae	GO:0016740
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100510_c0_g1_i1:493-1752(-)	0.462233463376031	0.636294488291482	2.20468631398402	0.00298349334164031	3	A9NVE3	0	Epimerase domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0003824; GO:0050662
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100522_c0_g1_i1:384-770(-)	0.793632403073641	0.0604491231684282	-2.35645511536361	0.000102114389911897	4	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100544_c0_g4_i1:2-310(+)	0.315011253322797	0.72551832667468	-3.23496112620967	0.00170237622092177	4	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100554_c0_g1_i1:493-2655(+)	-0.205487883473441	0.847836071783678	2.89497925649798	0.000162529664287402	3	A9NVP8	0	Phenylalanine ammonia-lyase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0005737; GO:0045548; GO:0009800; GO:0006559
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100561_c0_g3_i1:344-1018(-)	-0.650184187669404	0.281843509004299	-2.197751761777	0.000351189695085235	4	C0PTL2	1.66e-135	H15 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0000786; GO:0005634; GO:0003677; GO:0006334
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100562_c0_g2_i1:277-777(-)	-1.90072560350426	0.539031322796504	4.23435644207217	0.020900797579132	3	A9NM84	4.47e-79	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0005509
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100605_c0_g1_i1:1202-4597(+)	-0.812818251868119	0.15413499322662	-2.29271767602674	0.00244650985730547	4	A0A3S4P5A0	0	Putative LRR receptor-like serine/threonine-protein kinase OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01468500 PE=4 SV=1	337451	Viridiplantae	GO:0016021; GO:0005524; GO:0004672
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100632_c0_g1_i1:708-2630(-)	-0.103572629833093	0.97465600393535	3.0045354511419	0.0463772067804731	3	A0A0C9QVA3	0	TSA: Wollemia nobilis Ref_Wollemi_Transcript_6922_2664 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae	GO:0005634; GO:0003700; GO:0043565
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100633_c0_g1_i1:439-1893(-)	-0.727763991624366	0.214321343631423	-4.74608547852143	5.5383091762469e-05	4	A0A0D6QZC8	3.4e-142	Peptidase A1 domain-containing protein OS=Araucaria cunninghamii OX=56994 PE=3 SV=1	56994	Viridiplantae	GO:0004190
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100678_c0_g1_i1:130-465(-)	3.3048604147363	0.00128707877904809	-0.00977699315765024	0.994931424171752	1	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100687_c0_g1_i1:264-785(-)	0.00894627569085765	0.996067164865201	-3.38573228431618	0.0191156479674701	4	E5F6S2	3.19e-126	Flowering locus T-like protein (Fragment) OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100690_c0_g1_i1:2-367(+)	-7.55745652485418	1.01226228703367e-06	-0.456544604018584	0.466045564211641	2	A0A078IW23	9.86e-61	BnaAnng12070D protein OS=Brassica napus OX=3708 GN=BnaAnng12070D PE=4 SV=1	3708	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100690_c0_g3_i1:2-367(+)	6.77878860640458	4.32844100918051e-07	1.12275628197911	0.444409071641656	1	A0A078IW23	4.13e-62	BnaAnng12070D protein OS=Brassica napus OX=3708 GN=BnaAnng12070D PE=4 SV=1	3708	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100693_c0_g1_i1:1-678(-)	-3.64183788238128	0.0021597116049346	1.47723412816739	0.0515880385428703	2	B8LR43	4.88e-132	Glycosyltransferase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016758
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100695_c0_g1_i1:328-858(-)	-0.0520166532021121	0.974951577226872	2.26536749472251	0.0057640437985875	3	D5A9D3	5.49e-90	LOB domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100712_c0_g1_i2:341-1882(+)	-0.26790213647826	0.798500718955349	-3.21626030071424	0.00467399945779824	4	A0A2R6VY03	4.25e-103	Uncharacterized protein OS=Marchantia polymorpha OX=3197 GN=MARPO_1620s0002 PE=4 SV=1	3197	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100722_c0_g1_i1:576-2156(+)	-0.147898728852825	0.874920578338555	-2.75119197946379	0.00160735279929432	4	U5DE44	1.12e-71	Reticulon-like protein OS=Amborella trichopoda OX=13333 GN=AMTR_s00065p00202980 PE=4 SV=1	13333	Viridiplantae	GO:0005789; GO:0016021
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100775_c0_g1_i1:2-394(+)	-2.47893950488446	0.000189139653648188	-0.0930661416980365	0.860774034724904	2	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100780_c0_g1_i2:123-1967(-)	-0.468508364332955	0.835584386856501	5.18640070809693	0.000312757597643225	3	A0A0C9QSH0	0	TSA: Wollemia nobilis Ref_Wollemi_Transcript_11821_3395 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae	GO:0016021; GO:0055085
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100799_c0_g1_i2:2-874(-)	-4.44080955464478	0.0251543792968125	2.15401892894943	0.130313263858392	2	B8LQX6	1.98e-48	LRRNT_2 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016021
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100813_c1_g1_i1:242-1366(-)	-1.61566423647585	0.0669174867653187	-4.33316946323724	0.00347012004305258	4	G8C849	0	Thermospermine synthase OS=Pinus sylvestris OX=3349 PE=2 SV=1	3349	Viridiplantae	GO:0016740; GO:0006596
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100823_c0_g1_i1:186-1190(+)	-4.23347268229072	0.0458549558844825	-1.58332488872455	0.407445087005196	2	A0A517L0Y5	1.56e-153	Uncharacterized protein OS=Venturia effusa OX=50376 GN=FKW77_002682 PE=4 SV=1	50376	Fungi	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100826_c0_g1_i1:3-935(-)	-0.284052808962551	0.84264375415388	-3.89581616044435	0.00319608041783834	4	A0A223PIM7	0	Glycosyltransferase OS=Picea glauca OX=3330 PE=2 SV=1	3330	Viridiplantae	GO:0016758
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100832_c0_g1_i1:398-2806(-)	-0.186687194372291	0.877120779642289	-4.21020708524579	0.00394378144731768	4	A0A2H5PIA6	0	Protein kinase domain-containing protein OS=Citrus unshiu OX=55188 GN=CUMW_139220 PE=4 SV=1	55188	Viridiplantae	GO:0005524; GO:0004672
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100832_c0_g1_i3:286-2706(-)	-0.799878256656312	0.199207521919668	-2.01159712809702	0.0112795791738733	4	A0A5B7BMW9	0	Protein kinase domain-containing protein OS=Davidia involucrata OX=16924 GN=Din_039733 PE=4 SV=1	16924	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100840_c0_g1_i1:403-2313(+)	7.18684500898097	2.63551584212679e-05	1.41920072743028	0.508140949258706	1	A0A0D6QX07	3.56e-160	Uncharacterized protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100840_c0_g1_i2:403-1884(+)	2.89770573322228	0.00379399291420704	-1.76656276195959	0.177319599598772	1	A0A0D6QX07	4.69e-51	Uncharacterized protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100852_c1_g1_i1:15-1556(+)	1.25447745589017	0.425763165217436	2.69475663110684	0.0287232437364385	3	A0A0D2IUV8	0	Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.3, whole genome shotgun sequence OS=Rhinocladiella mackenziei CBS 650.93 OX=1442369 GN=Z518_04917 PE=4 SV=1	1442369	Fungi	GO:0003676
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100875_c0_g1_i1:149-625(-)	0.686544837529394	0.873516002769668	5.56367480517174	0.0168215324257248	3	Q40868	1.38e-112	Heat shock-like protein OS=Picea glauca OX=3330 GN=hsp18.2-like PE=2 SV=1	3330	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100891_c0_g2_i1:293-904(-)	6.84879764969723	7.04211611707914e-06	1.68798893878038	0.335751371882978	1	D5A8X5	3.4e-134	HMA domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0046872; GO:0030001
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100921_c0_g1_i1:9-692(-)	-1.35408754524809	0.0756224568717806	-5.41758656886697	1.57069303383793e-05	4	Q4W2V5	7.12e-129	Peroxidase OS=Picea abies OX=3329 GN=px4 PE=2 SV=1	3329	Viridiplantae	GO:0005576; GO:0020037; GO:0046872; GO:0004601; GO:0042744; GO:0006979
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100923_c0_g2_i1:319-1470(-)	-1.11818057845233	0.744934641039817	5.44324112329352	0.00971161079979964	3	A0A0C9S133	0	Beta-amylase OS=Wollemia nobilis OX=56998 PE=3 SV=1	56998	Viridiplantae	GO:0102229; GO:0016161; GO:0000272
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100932_c0_g1_i1:2-439(+)	-0.0767992909859551	0.950116078608513	-2.09643119409108	0.00904984745240843	4	D5ACT2	5.68e-98	Acyl-[acyl-carrier-protein] desaturase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0009507; GO:0045300; GO:0046872; GO:0006633
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100951_c0_g1_i1:468-1634(+)	-0.333784705296784	0.534934975355921	-2.11887558883142	0.000264155560267564	4	A9NWB0	0	Lipase_GDSL domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016788
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100953_c0_g1_i1:459-2048(-)	-0.615365594794266	0.600483611249518	2.22147069747749	0.00869161469537428	3	B8LLP1	0	MFS domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016021; GO:0022857
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100966_c2_g1_i1:677-1171(+)	4.63933106756314	0.0196110494236978	-1.79909548403873	0.486083816498993	1	D5A7Y8	9.92e-25	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100968_c3_g4_i1:30-845(+)	5.14247798097966	7.06723128224312e-06	-0.534159063395651	0.711544226979294	1	B8LKN6	1.31e-65	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100980_c0_g1_i1:326-2395(+)	0.155670466634244	0.85009723086631	2.13100733225903	0.000283546952276425	3	A9NX60	0	STAS domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016021; GO:0008271; GO:0015293
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100986_c0_g2_i1:538-1566(+)	-0.0016957797400026	0.999393252375914	4.22554791957292	0.000445704774409861	3	A0A176WIX6	3.88e-70	Uncharacterized protein OS=Marchantia polymorpha subsp. ruderalis OX=1480154 GN=AXG93_4773s1440 PE=4 SV=1	1480154	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101008_c1_g1_i1:430-1218(+)	-11.559759562448	1.70343394598175e-09	-0.0616076342242523	0.811696176647661	2	A9NZI0	0	PHD-type domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0042393; GO:0046872; GO:0006355
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101014_c0_g3_i1:3-341(+)	-0.231132019974799	0.96120027443926	5.99223468916543	0.0106372959750355	3	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101015_c0_g1_i1:240-626(-)	2.75521674118513	0.0439409383995151	2.7042867138804	0.0274738956289763	5	A0A094HDL2	2.1e-82	Uncharacterized protein OS=Pseudogymnoascus sp. VKM F-4519 (FW-2642) OX=1420914 GN=V501_03687 PE=3 SV=1	1420914	Fungi	GO:0005840; GO:0003723; GO:0003735; GO:0006412
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101020_c0_g1_i1:931-2073(-)	-0.050136309675563	0.950068470566751	2.04569159586214	8.02485050612934e-05	3	A0A0D6QZG3	0	AB hydrolase-1 domain-containing protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101035_c0_g1_i2:260-703(-)	-1.76326387276402	0.308949403733666	-6.7186795197008	0.000918913845371206	4	A9NQZ4	2.56e-89	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101044_c0_g1_i1:1-432(+)	-0.0138303358271213	0.988269891670177	-3.11962421206695	0.000249717973061525	4	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101049_c0_g1_i1:173-820(+)	0.287713465736778	0.838086397418096	-5.80306459577893	0.00102097125172354	4	A9P1V3	1.46e-135	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0005634; GO:0003677; GO:0003700; GO:0046983
