cds	UniProtKB.AC	Taxonomy	GOID	TERM
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100780_c0_g1_i2:123-1967(-)	A0A0C9QSH0	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100813_c1_g1_i1:242-1366(-)	G8C849	Viridiplantae	GO:0006596	polyamine biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100891_c0_g2_i1:293-904(-)	D5A8X5	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100921_c0_g1_i1:9-692(-)	Q4W2V5	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100921_c0_g1_i1:9-692(-)	Q4W2V5	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100923_c0_g2_i1:319-1470(-)	A0A0C9S133	Viridiplantae	GO:0000272	polysaccharide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100932_c0_g1_i1:2-439(+)	D5ACT2	Viridiplantae	GO:0006633	fatty acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100932_c0_g1_i2:1-672(+)	D5ACT2	Viridiplantae	GO:0006633	fatty acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101008_c1_g1_i1:430-1218(+)	A9NZI0	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101015_c0_g1_i1:240-626(-)	A0A094HDL2	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101098_c0_g1_i1:248-1753(-)	A0A4Z1PIJ7	Fungi	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101127_c0_g1_i1:161-1654(+)	A9NVK5	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i1:493-1941(+)	W1NZ74	Viridiplantae	GO:0009638	phototropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i1:493-1941(+)	W1NZ74	Viridiplantae	GO:0016567	protein ubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i3:228-842(+)	A0A061E316	Viridiplantae	GO:0016567	protein ubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101150_c0_g1_i1:538-1128(+)	A0A0D6R9G6	Viridiplantae	GO:0000160	phosphorelay signal transduction system
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101267_c0_g1_i1:189-1694(+)	A0A0C9QVB9	Viridiplantae	GO:0006952	defense response
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101267_c0_g1_i1:189-1694(+)	A0A0C9QVB9	Viridiplantae	GO:0032259	methylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101267_c0_g1_i1:189-1694(+)	A0A0C9QVB9	Viridiplantae	GO:0019441	tryptophan catabolic process to kynurenine
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101306_c0_g1_i1:194-1291(+)	D8TBK2	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101306_c0_g1_i1:194-1291(+)	D8TBK2	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101318_c1_g2_i1:2-304(+)	A0A0D6R3M8	Viridiplantae	GO:0005985	sucrose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101318_c1_g3_i1:143-490(+)	A0A0D6R3M8	Viridiplantae	GO:0005985	sucrose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101561_c0_g1_i1:3-1034(+)	A0A2P5HY91	Fungi	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101649_c0_g1_i1:163-1308(+)	A0A438FBL2	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101691_c0_g1_i1:639-5141(-)	A0A443NTG4	Viridiplantae	GO:0006281	DNA repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101757_c0_g1_i1:305-1333(-)	A9P0E6	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101757_c0_g1_i2:305-1462(-)	A9P0E6	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101966_c0_g1_i1:241-1131(+)	A9NLB7	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101966_c0_g1_i1:241-1131(+)	A9NLB7	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101966_c0_g1_i1:241-1131(+)	A9NLB7	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102011_c0_g1_i1:2-316(+)	A0A423X3C0	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102032_c0_g1_i1:596-1345(-)	A9NV40	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102035_c0_g1_i1:309-956(-)	A0A0C4VYR6	Viridiplantae	GO:0006351	transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102111_c0_g1_i1:1-306(-)	A0A453C0M5	Viridiplantae	GO:0006865	amino acid transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102158_c0_g1_i4:2-802(-)	B8LKB6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102182_c1_g1_i1:1-300(-)	A9NKD5	Viridiplantae	GO:0006869	lipid transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102192_c0_g1_i1:430-900(+)	A9NMX0	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102198_c0_g1_i1:3-1223(+)	A0A200QQ62	Viridiplantae	GO:0006596	polyamine biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102214_c0_g1_i1:182-1738(-)	A0A0A0KKX4	Viridiplantae	GO:0050832	defense response to fungus
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102214_c0_g1_i1:182-1738(-)	A0A0A0KKX4	Viridiplantae	GO:0009788	negative regulation of abscisic acid-activated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102214_c0_g1_i1:182-1738(-)	A0A0A0KKX4	Viridiplantae	GO:0009737	response to abscisic acid
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102214_c0_g1_i1:182-1738(-)	A0A0A0KKX4	Viridiplantae	GO:0009749	response to glucose
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102214_c0_g1_i1:182-1738(-)	A0A0A0KKX4	Viridiplantae	GO:0006970	response to osmotic stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102214_c0_g1_i1:182-1738(-)	A0A0A0KKX4	Viridiplantae	GO:1902074	response to salt
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102311_c0_g8_i4:2-427(+)	C0PQE2	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102325_c1_g2_i1:2-355(+)	A0A0D1WYR5	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102335_c0_g1_i1:1-3342(+)	A0A0B2PH80	Viridiplantae	GO:0006281	DNA repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102377_c0_g1_i1:156-2360(-)	A0A2G5C5E2	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102421_c0_g1_i1:348-2261(+)	A0A061E698	Viridiplantae	GO:0048653	anther development
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102421_c0_g1_i1:348-2261(+)	A0A061E698	Viridiplantae	GO:0007639	homeostasis of number of meristem cells
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102421_c0_g1_i1:348-2261(+)	A0A061E698	Viridiplantae	GO:0006468	protein phosphorylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102445_c0_g1_i1:332-634(+)	A9NWK6	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102466_c0_g1_i1:1-450(-)	B8LKE3	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102571_c0_g1_i1:2-1078(-)	A9NVV0	Viridiplantae	GO:0042545	cell wall modification
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102571_c0_g1_i1:2-1078(-)	A9NVV0	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102658_c0_g1_i1:335-1795(-)	A0A2R6P670	Viridiplantae	GO:0009959	negative gravitropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102658_c0_g1_i1:335-1795(-)	A0A2R6P670	Viridiplantae	GO:0009639	response to red or far red light
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102686_c0_g1_i6:1-483(+)	A0A0A0LNW8	Viridiplantae	GO:0051085	chaperone cofactor-dependent protein refolding
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102686_c0_g1_i6:1-483(+)	A0A0A0LNW8	Viridiplantae	GO:0042026	protein refolding
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102686_c0_g1_i6:1-483(+)	A0A0A0LNW8	Viridiplantae	GO:0009408	response to heat
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102708_c1_g1_i1:2-925(-)	A0A0C9QTW5	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102781_c0_g1_i1:1-1206(+)	G9I492	Viridiplantae	GO:0000724	double-strand break repair via homologous recombination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102781_c0_g1_i1:1-1206(+)	G9I492	Viridiplantae	GO:1990426	mitotic recombination-dependent replication fork processing
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c0_g1_i1:595-1716(-)	U5DA75	Viridiplantae	GO:0032147	activation of protein kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c0_g1_i1:595-1716(-)	U5DA75	Viridiplantae	GO:0007346	regulation of mitotic cell cycle
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c0_g1_i1:595-1716(-)	U5DA75	Viridiplantae	GO:0023014	signal transduction by protein phosphorylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c0_g1_i1:595-1716(-)	U5DA75	Viridiplantae	GO:0031098	stress-activated protein kinase signaling cascade
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	U5DA75	Viridiplantae	GO:0032147	activation of protein kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	U5DA75	Viridiplantae	GO:0007346	regulation of mitotic cell cycle
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	U5DA75	Viridiplantae	GO:0023014	signal transduction by protein phosphorylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	U5DA75	Viridiplantae	GO:0031098	stress-activated protein kinase signaling cascade
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102846_c0_g1_i1:1-981(+)	A0A0D6R6D1	Viridiplantae	GO:0006725	cellular aromatic compound metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102929_c0_g1_i1:3-344(-)	M1T9X3	Viridiplantae	GO:0009807	lignan biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103007_c0_g1_i1:202-951(+)	A9NWN3	Viridiplantae	GO:0015979	photosynthesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103009_c0_g2_i1:104-1888(-)	R1EZ16	Fungi	GO:0046034	ATP metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103010_c0_g1_i1:231-1688(+)	U5D2U3	Viridiplantae	GO:0051603	proteolysis involved in cellular protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103010_c0_g1_i2:231-1703(+)	U5D2U3	Viridiplantae	GO:0051603	proteolysis involved in cellular protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN10303_c0_g2_i1:2-322(+)	D5A9K4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN10303_c0_g5_i1:2-322(+)	D5A9K4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103080_c0_g1_i1:273-1814(-)	A0A1U8AEB4	Viridiplantae	GO:0030245	cellulose catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103080_c0_g2_i1:1-384(-)	A0A200QP82	Viridiplantae	GO:0030245	cellulose catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103128_c0_g1_i1:162-572(-)	A0A2T3AAS7	Fungi	GO:0006414	translational elongation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103129_c1_g1_i1:2-634(+)	A0A2P6NNA7	Evosea	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103170_c0_g1_i1:379-1332(-)	D5ADU7	Viridiplantae	GO:0019478	D-amino acid catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103200_c2_g1_i1:83-664(+)	A0A0G2EXE1	Fungi	GO:0006457	protein folding
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103200_c2_g1_i1:83-664(+)	A0A0G2EXE1	Fungi	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103200_c2_g1_i1:83-664(+)	A0A0G2EXE1	Fungi	GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103337_c0_g12_i1:1-312(-)	B8LLQ6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103337_c0_g4_i1:1-297(-)	B8LLQ6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103392_c0_g1_i1:476-928(-)	A9NZE3	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103448_c0_g1_i1:118-1761(-)	A0A3S3NRU7	Viridiplantae	GO:0006997	nucleus organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103588_c0_g1_i1:3-311(-)	C0PQE2	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103588_c3_g1_i4:2-319(-)	C0PQE2	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103600_c1_g2_i1:34-510(-)	A0A3N4HUR3	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103747_c0_g1_i1:246-989(-)	D8R4F0	Viridiplantae	GO:0010274	hydrotropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	A0A0G2EI40	Fungi	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	A0A0G2EI40	Fungi	GO:0061692	cellular detoxification of hydrogen peroxide
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	A0A0G2EI40	Fungi	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	A0A0G2EI40	Fungi	GO:0043433	negative regulation of DNA-binding transcription factor activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	A0A0G2EI40	Fungi	GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103971_c0_g1_i1:204-707(-)	A0A0D1ZXD7	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104080_c0_g1_i1:84-1328(-)	A0A4S9ZB52	Fungi	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104080_c0_g1_i1:84-1328(-)	A0A4S9ZB52	Fungi	GO:0009298	GDP-mannose biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104082_c0_g1_i1:1-477(+)	E1ZE71	Viridiplantae	GO:0015979	photosynthesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN10408_c0_g1_i1:71-469(+)	A9NZD0	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104133_c0_g2_i1:2-493(+)	D5AC01	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104230_c1_g1_i1:262-2187(-)	A9NUF7	Viridiplantae	GO:0006887	exocytosis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104230_c1_g1_i1:262-2187(-)	A9NUF7	Viridiplantae	GO:0015031	protein transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104231_c0_g1_i1:157-1779(-)	W9XR47	Fungi	GO:0009450	gamma-aminobutyric acid catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104293_c0_g2_i1:1-1953(+)	B8LRB4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104293_c1_g2_i2:2-589(+)	B8LRB4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104370_c0_g1_i1:2-661(+)	A0A0C9S6M8	Viridiplantae	GO:0048544	recognition of pollen
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104370_c0_g2_i2:2-874(+)	A0A0C9S6M8	Viridiplantae	GO:0048544	recognition of pollen
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104373_c0_g1_i1:1-666(+)	A0A2H5NC79	Viridiplantae	GO:0010223	secondary shoot formation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104376_c0_g1_i1:52-3015(+)	W1PEU8	Viridiplantae	GO:0006303	double-strand break repair via nonhomologous end joining
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104376_c0_g1_i1:52-3015(+)	W1PEU8	Viridiplantae	GO:0036297	interstrand cross-link repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104376_c0_g1_i1:52-3015(+)	W1PEU8	Viridiplantae	GO:0031848	protection from non-homologous end joining at telomere
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104392_c0_g1_i1:1-489(+)	D5AAR7	Viridiplantae	GO:0032259	methylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104405_c0_g1_i2:247-1986(+)	W1PGD2	Viridiplantae	GO:0005983	starch catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104416_c1_g1_i1:155-586(-)	A9NQK8	Viridiplantae	GO:0009733	response to auxin
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104446_c2_g1_i1:3-575(+)	A0A3N4LDD7	Fungi	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104448_c0_g1_i1:1-549(+)	D8TIH5	Viridiplantae	GO:0009765	photosynthesis, light harvesting
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104448_c0_g1_i1:1-549(+)	D8TIH5	Viridiplantae	GO:0018298	protein-chromophore linkage
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104453_c0_g1_i1:83-763(+)	A9NT56	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104453_c0_g1_i1:83-763(+)	A9NT56	Viridiplantae	GO:0016998	cell wall macromolecule catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104453_c0_g1_i1:83-763(+)	A9NT56	Viridiplantae	GO:0006032	chitin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104454_c0_g2_i2:22-1491(-)	V4TN15	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104596_c0_g1_i1:379-2961(+)	F6GTH5	Viridiplantae	GO:0007018	microtubule-based movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104777_c0_g1_i1:3-518(+)	A0A0C9RT06	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104812_c0_g1_i3:1-369(-)	A9NTA1	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104812_c0_g1_i3:1-369(-)	A9NTA1	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104826_c0_g1_i1:144-3407(+)	Q5DI93	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104826_c0_g1_i1:144-3407(+)	Q5DI93	Viridiplantae	GO:0030244	cellulose biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104953_c0_g1_i1:1-840(+)	A0A4S9GN86	Fungi	GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105047_c1_g1_i1:2-1105(+)	A0A444EIP4	Viridiplantae	GO:0016579	protein deubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105047_c1_g1_i1:2-1105(+)	A0A444EIP4	Viridiplantae	GO:0006511	ubiquitin-dependent protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105106_c0_g1_i1:192-3536(-)	A0A176WRD8	Viridiplantae	GO:0006813	potassium ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105112_c0_g1_i1:65-3877(-)	A0A1U8ADD4	Viridiplantae	GO:0051513	regulation of monopolar cell growth
