cds	set	UniProtKB.AC	Taxonomy	GOID	TERM
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	1	G9B4E7	Viridiplantae	GO:0006032	chitin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100313_c0_g1_i1:2-442(-)	4	W1PM24	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100313_c0_g1_i1:2-442(-)	4	W1PM24	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100492_c0_g1_i1:357-3335(-)	4	A0A443N148	Viridiplantae	GO:0007018	microtubule-based movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100554_c0_g1_i1:493-2655(+)	3	A9NVP8	Viridiplantae	GO:0009800	cinnamic acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100554_c0_g1_i1:493-2655(+)	3	A9NVP8	Viridiplantae	GO:0006559	L-phenylalanine catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100561_c0_g3_i1:344-1018(-)	4	C0PTL2	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100780_c0_g1_i2:123-1967(-)	3	A0A0C9QSH0	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100813_c1_g1_i1:242-1366(-)	4	G8C849	Viridiplantae	GO:0006596	polyamine biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100891_c0_g2_i1:293-904(-)	1	D5A8X5	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100921_c0_g1_i1:9-692(-)	4	Q4W2V5	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100921_c0_g1_i1:9-692(-)	4	Q4W2V5	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100923_c0_g2_i1:319-1470(-)	3	A0A0C9S133	Viridiplantae	GO:0000272	polysaccharide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100932_c0_g1_i1:2-439(+)	4	D5ACT2	Viridiplantae	GO:0006633	fatty acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101008_c1_g1_i1:430-1218(+)	2	A9NZI0	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101015_c0_g1_i1:240-626(-)	5	A0A094HDL2	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101098_c0_g1_i1:248-1753(-)	3	A0A4Z1PIJ7	Fungi	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101127_c0_g1_i1:161-1654(+)	4	A9NVK5	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i1:493-1941(+)	4	W1NZ74	Viridiplantae	GO:0009638	phototropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i1:493-1941(+)	4	W1NZ74	Viridiplantae	GO:0016567	protein ubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i3:228-842(+)	4	A0A061E316	Viridiplantae	GO:0016567	protein ubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101150_c0_g1_i1:538-1128(+)	4	A0A0D6R9G6	Viridiplantae	GO:0000160	phosphorelay signal transduction system
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101306_c0_g1_i1:194-1291(+)	4	D8TBK2	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101306_c0_g1_i1:194-1291(+)	4	D8TBK2	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101318_c1_g2_i1:2-304(+)	3	A0A0D6R3M8	Viridiplantae	GO:0005985	sucrose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101318_c1_g3_i1:143-490(+)	3	A0A0D6R3M8	Viridiplantae	GO:0005985	sucrose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101561_c0_g1_i1:3-1034(+)	1	A0A2P5HY91	Fungi	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101649_c0_g1_i1:163-1308(+)	4	A0A438FBL2	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101757_c0_g1_i1:305-1333(-)	8	A9P0E6	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101966_c0_g1_i1:241-1131(+)	4	A9NLB7	Viridiplantae	GO:0042546	cell wall biogenesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101966_c0_g1_i1:241-1131(+)	4	A9NLB7	Viridiplantae	GO:0071555	cell wall organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101966_c0_g1_i1:241-1131(+)	4	A9NLB7	Viridiplantae	GO:0010411	xyloglucan metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102032_c0_g1_i1:596-1345(-)	2	A9NV40	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102035_c0_g1_i1:309-956(-)	4	A0A0C4VYR6	Viridiplantae	GO:0006351	transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102111_c0_g1_i1:1-306(-)	2	A0A453C0M5	Viridiplantae	GO:0006865	amino acid transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102158_c0_g1_i4:2-802(-)	1	B8LKB6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102182_c1_g1_i1:1-300(-)	8	A9NKD5	Viridiplantae	GO:0006869	lipid transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102192_c0_g1_i1:430-900(+)	4	A9NMX0	Viridiplantae	GO:0030001	metal ion transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102198_c0_g1_i1:3-1223(+)	4	A0A200QQ62	Viridiplantae	GO:0006596	polyamine biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102311_c0_g8_i4:2-427(+)	2	C0PQE2	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102325_c1_g2_i1:2-355(+)	3	A0A0D1WYR5	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102335_c0_g1_i1:1-3342(+)	4	A0A0B2PH80	Viridiplantae	GO:0006281	DNA repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102377_c0_g1_i1:156-2360(-)	4	A0A2G5C5E2	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102421_c0_g1_i1:348-2261(+)	4	A0A061E698	Viridiplantae	GO:0048653	anther development
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102421_c0_g1_i1:348-2261(+)	4	A0A061E698	Viridiplantae	GO:0007639	homeostasis of number of meristem cells
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102421_c0_g1_i1:348-2261(+)	4	A0A061E698	Viridiplantae	GO:0006468	protein phosphorylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102445_c0_g1_i1:332-634(+)	4	A9NWK6	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102571_c0_g1_i1:2-1078(-)	3	A9NVV0	Viridiplantae	GO:0042545	cell wall modification
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102571_c0_g1_i1:2-1078(-)	3	A9NVV0	Viridiplantae	GO:0045490	pectin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102658_c0_g1_i1:335-1795(-)	4	A0A2R6P670	Viridiplantae	GO:0009959	negative gravitropism
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102658_c0_g1_i1:335-1795(-)	4	A0A2R6P670	Viridiplantae	GO:0009639	response to red or far red light
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102686_c0_g1_i6:1-483(+)	2	A0A0A0LNW8	Viridiplantae	GO:0051085	chaperone cofactor-dependent protein refolding
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102686_c0_g1_i6:1-483(+)	2	A0A0A0LNW8	Viridiplantae	GO:0042026	protein refolding
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102686_c0_g1_i6:1-483(+)	2	A0A0A0LNW8	Viridiplantae	GO:0009408	response to heat
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102708_c1_g1_i1:2-925(-)	4	A0A0C9QTW5	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102781_c0_g1_i1:1-1206(+)	4	G9I492	Viridiplantae	GO:0000724	double-strand break repair via homologous recombination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102781_c0_g1_i1:1-1206(+)	4	G9I492	Viridiplantae	GO:1990426	mitotic recombination-dependent replication fork processing
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	4	U5DA75	Viridiplantae	GO:0032147	activation of protein kinase activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	4	U5DA75	Viridiplantae	GO:0007346	regulation of mitotic cell cycle
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	4	U5DA75	Viridiplantae	GO:0023014	signal transduction by protein phosphorylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102822_c1_g1_i1:383-1456(+)	4	U5DA75	Viridiplantae	GO:0031098	stress-activated protein kinase signaling cascade
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102846_c0_g1_i1:1-981(+)	3	A0A0D6R6D1	Viridiplantae	GO:0006725	cellular aromatic compound metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN102929_c0_g1_i1:3-344(-)	2	M1T9X3	Viridiplantae	GO:0009807	lignan biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103007_c0_g1_i1:202-951(+)	2	A9NWN3	Viridiplantae	GO:0015979	photosynthesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103010_c0_g1_i1:231-1688(+)	4	U5D2U3	Viridiplantae	GO:0051603	proteolysis involved in cellular protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103010_c0_g1_i2:231-1703(+)	4	U5D2U3	Viridiplantae	GO:0051603	proteolysis involved in cellular protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN10303_c0_g2_i1:2-322(+)	4	D5A9K4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN10303_c0_g5_i1:2-322(+)	1	D5A9K4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103080_c0_g1_i1:273-1814(-)	4	A0A1U8AEB4	Viridiplantae	GO:0030245	cellulose catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103080_c0_g2_i1:1-384(-)	4	A0A200QP82	Viridiplantae	GO:0030245	cellulose catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103170_c0_g1_i1:379-1332(-)	3	D5ADU7	Viridiplantae	GO:0019478	D-amino acid catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103337_c0_g12_i1:1-312(-)	1	B8LLQ6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103337_c0_g4_i1:1-297(-)	2	B8LLQ6	Viridiplantae	GO:0006629	lipid metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103392_c0_g1_i1:476-928(-)	4	A9NZE3	Viridiplantae	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103448_c0_g1_i1:118-1761(-)	8	A0A3S3NRU7	Viridiplantae	GO:0006997	nucleus organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103588_c0_g1_i1:3-311(-)	2	C0PQE2	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103588_c3_g1_i4:2-319(-)	2	C0PQE2	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	3	A0A0G2EI40	Fungi	GO:0045454	cell redox homeostasis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	3	A0A0G2EI40	Fungi	GO:0061692	cellular detoxification of hydrogen peroxide
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	3	A0A0G2EI40	Fungi	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	3	A0A0G2EI40	Fungi	GO:0043433	negative regulation of DNA-binding transcription factor activity
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103942_c0_g3_i1:228-851(-)	3	A0A0G2EI40	Fungi	GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN103971_c0_g1_i1:204-707(-)	3	A0A0D1ZXD7	Fungi	GO:0006412	translation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104082_c0_g1_i1:1-477(+)	2	E1ZE71	Viridiplantae	GO:0015979	photosynthesis
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN10408_c0_g1_i1:71-469(+)	3	A9NZD0	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104133_c0_g2_i1:2-493(+)	1	D5AC01	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104293_c0_g2_i1:1-1953(+)	8	B8LRB4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104293_c1_g2_i2:2-589(+)	2	B8LRB4	Viridiplantae	GO:0007165	signal transduction
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104370_c0_g2_i2:2-874(+)	3	A0A0C9S6M8	Viridiplantae	GO:0048544	recognition of pollen
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104373_c0_g1_i1:1-666(+)	4	A0A2H5NC79	Viridiplantae	GO:0010223	secondary shoot formation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104376_c0_g1_i1:52-3015(+)	4	W1PEU8	Viridiplantae	GO:0006303	double-strand break repair via nonhomologous end joining
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104376_c0_g1_i1:52-3015(+)	4	W1PEU8	Viridiplantae	GO:0036297	interstrand cross-link repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104376_c0_g1_i1:52-3015(+)	4	W1PEU8	Viridiplantae	GO:0031848	protection from non-homologous end joining at telomere
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104392_c0_g1_i1:1-489(+)	4	D5AAR7	Viridiplantae	GO:0032259	methylation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104405_c0_g1_i2:247-1986(+)	2	W1PGD2	Viridiplantae	GO:0005983	starch catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104416_c1_g1_i1:155-586(-)	3	A9NQK8	Viridiplantae	GO:0009733	response to auxin
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104446_c2_g1_i1:3-575(+)	3	A0A3N4LDD7	Fungi	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104448_c0_g1_i1:1-549(+)	2	D8TIH5	Viridiplantae	GO:0009765	photosynthesis, light harvesting
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104448_c0_g1_i1:1-549(+)	2	D8TIH5	Viridiplantae	GO:0018298	protein-chromophore linkage
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104453_c0_g1_i1:83-763(+)	4	A9NT56	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104453_c0_g1_i1:83-763(+)	4	A9NT56	Viridiplantae	GO:0016998	cell wall macromolecule catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104453_c0_g1_i1:83-763(+)	4	A9NT56	Viridiplantae	GO:0006032	chitin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104454_c0_g2_i2:22-1491(-)	1	V4TN15	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104596_c0_g1_i1:379-2961(+)	4	F6GTH5	Viridiplantae	GO:0007018	microtubule-based movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104777_c0_g1_i1:3-518(+)	3	A0A0C9RT06	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104812_c0_g1_i3:1-369(-)	4	A9NTA1	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN104812_c0_g1_i3:1-369(-)	4	A9NTA1	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105047_c1_g1_i1:2-1105(+)	4	A0A444EIP4	Viridiplantae	GO:0016579	protein deubiquitination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105047_c1_g1_i1:2-1105(+)	4	A0A444EIP4	Viridiplantae	GO:0006511	ubiquitin-dependent protein catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105112_c0_g1_i1:65-3877(-)	4	A0A1U8ADD4	Viridiplantae	GO:0051513	regulation of monopolar cell growth
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105138_c0_g1_i1:433-3978(-)	4	A0A443P4Y4	Viridiplantae	GO:0007018	microtubule-based movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105147_c0_g1_i2:291-2798(-)	1	A0A1U8BLA6	Viridiplantae	GO:0006289	nucleotide-excision repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105200_c0_g1_i1:554-2185(-)	4	A0A200RDV0	Viridiplantae	GO:0007015	actin filament organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105200_c0_g1_i1:554-2185(-)	4	A0A200RDV0	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105229_c0_g1_i1:453-2534(-)	4	A0A0K0M715	Viridiplantae	GO:0009734	auxin-activated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105229_c0_g1_i1:453-2534(-)	4	A0A0K0M715	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105400_c2_g1_i3:670-2106(+)	3	A9NUC8	Viridiplantae	GO:0006081	cellular aldehyde metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105483_c1_g2_i1:3-455(-)	3	B8LL56	Viridiplantae	GO:0055085	transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105487_c0_g1_i1:1-336(-)	3	A0A0C9S6M8	Viridiplantae	GO:0048544	recognition of pollen
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105509_c0_g1_i1:234-1253(-)	4	T1PZ39	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105509_c0_g1_i1:234-1253(-)	4	T1PZ39	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105529_c0_g1_i1:2-454(+)	4	Q9ZQW6	Viridiplantae	GO:0009269	response to desiccation
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105534_c0_g1_i1:442-7194(-)	3	A0A0C9S872	Viridiplantae	GO:0006633	fatty acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105537_c0_g1_i1:308-1819(+)	4	A0A0C9S5E4	Viridiplantae	GO:0006633	fatty acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105644_c0_g1_i1:277-750(+)	4	A0A2C9UMF9	Viridiplantae	GO:0009733	response to auxin
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105654_c0_g1_i1:536-2002(+)	4	A0A2G9GXB0	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105656_c0_g1_i1:168-683(+)	2	A0A5D2C2P4	Viridiplantae	GO:0055114	oxidation-reduction process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105725_c0_g1_i2:141-461(-)	4	A9NZG1	Viridiplantae	GO:0008643	carbohydrate transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105725_c0_g1_i3:141-959(-)	4	A9NZG1	Viridiplantae	GO:0008643	carbohydrate transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105762_c0_g1_i1:216-3245(-)	3	A0A2N9J0R7	Viridiplantae	GO:0006013	mannose metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN105872_c0_g1_i1:489-2270(+)	4	U5CWJ4	Viridiplantae	GO:0003333	amino acid transmembrane transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106058_c0_g1_i1:305-2959(-)	2	A0A0C9QTT7	Viridiplantae	GO:0006355	regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106066_c1_g1_i1:607-1314(-)	4	A0A1Q3BBZ1	Viridiplantae	GO:0045893	positive regulation of transcription, DNA-templated
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106085_c0_g1_i1:2-598(+)	3	A0A0D2BW43	Fungi	GO:0048309	endoplasmic reticulum inheritance
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106085_c0_g1_i1:2-598(+)	3	A0A0D2BW43	Fungi	GO:1990809	endoplasmic reticulum tubular network membrane organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106085_c0_g1_i1:2-598(+)	3	A0A0D2BW43	Fungi	GO:0032581	ER-dependent peroxisome organization
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106085_c0_g1_i1:2-598(+)	3	A0A0D2BW43	Fungi	GO:0051292	nuclear pore complex assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106085_c0_g1_i1:2-598(+)	3	A0A0D2BW43	Fungi	GO:0034976	response to endoplasmic reticulum stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106085_c0_g1_i1:2-598(+)	3	A0A0D2BW43	Fungi	GO:0016192	vesicle-mediated transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106127_c0_g1_i1:272-934(+)	2	D5A9D9	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106127_c0_g1_i2:272-904(+)	1	D5AAB3	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106127_c0_g1_i3:272-913(+)	1	D5AAB3	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106127_c0_g1_i4:272-904(+)	1	D5AAB3	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN106187_c0_g1_i3:2-493(-)	1	A0A0C9SB52	Viridiplantae	GO:0120009	intermembrane lipid transfer
