qseqid	sseqid	evalue	salltitles	tax_id	taxonomy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101191_c0_g1_i1:125-1543(-)	A0A1V1FSR8	3.46e-37	AP2/B3-like transcriptional factor family protein OS=Cryptomeria japonica OX=3369 PE=2 SV=1	3369	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101219_c0_g1_i1:2-1447(-)	B8LMZ7	6.8e-114	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101267_c0_g1_i1:189-1694(+)	A0A0C9QVB9	0	TSA: Wollemia nobilis Ref_Wollemi_Transcript_6698_2067 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101303_c0_g1_i1:3-725(-)	A0A0D6QRD8	3.53e-71	Uncharacterized protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101306_c0_g1_i1:194-1291(+)	D8TBK2	2.24e-114	Peroxidase OS=Selaginella moellendorffii OX=88036 GN=SELMODRAFT_236645 PE=3 SV=1	88036	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101318_c1_g2_i1:2-304(+)	A0A0D6R3M8	4.42e-51	Sucrose synthase OS=Araucaria cunninghamii OX=56994 PE=3 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101318_c1_g3_i1:143-490(+)	A0A0D6R3M8	3.14e-58	Sucrose synthase OS=Araucaria cunninghamii OX=56994 PE=3 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101337_c0_g1_i1:3-599(-)	A0A2R6WEA7	4.94e-21	Uncharacterized protein OS=Marchantia polymorpha OX=3197 GN=MARPO_0102s0052 PE=4 SV=1	3197	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101345_c0_g2_i1:462-1871(-)	A0A0D1WGB9	2.45e-159	VWFA domain-containing protein OS=Exophiala sideris OX=1016849 GN=PV11_03345 PE=4 SV=1	1016849	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101348_c0_g2_i1:257-1168(+)	A0A1Y1I7M9	4.26e-98	Uncharacterized protein OS=Klebsormidium nitens OX=105231 GN=KFL_002210160 PE=4 SV=1	105231	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101356_c1_g2_i1:2-556(+)	A0A4S4CYH8	2.78e-35	LEA_2 domain-containing protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_010773 PE=4 SV=1	542762	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101362_c0_g1_i2:1-1035(-)	A9NVT2	0	Glycosyltransferase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101366_c0_g1_i2:308-787(-)	A9NLF6	6.54e-73	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101366_c0_g1_i3:280-780(-)	A9NLF6	2.43e-70	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
